  228 #Scolon_conj                 Semicolon_conjunction
  229 #Semicolon                   Semicolon
  230 #Sr_ind                      auxiliary_verb_attaches_to_indicative_S
  231 #Sr_irrealis+                auxiliary_verb_attaches_to_irrealis+_S
  232 #Sr_past                     auxiliary_verb_attaches_to_past_S
  233 #Sr_perfect+                 auxiliary_verb_attaches_to_perfect+_S
  234 #Sr_pres                     auxiliary_verb_attaches_to_present_S
  235 #Sr_prog+                    auxiliary_verb_attaches_to_progressive+_S
  236 #Sf_punct-                   foot_has_no_punct
  237 #Sf_ppart-ger-inf            #Sf_ppart-ger-inf
  238 #Sf_term_excl                #Sf_term_excl
  239 #Sf_term_qmark               #Sf_term_qmark
  240 #Sf_term_none                S_no_terminal_punct
  241 #Sf_term_excl-qmark          S_exclamation_or_quest-mark
  242 #SQuote                      Single_Quote
  243 #Squote_adj                  Single_Quotes_on_Adj
  244 #Squote_adv                  Single_Quotes_on_Adv
  245 #Squote_det                  Single_Quotes_on_Det
  246 #Squote_np                   Single_Quotes_on_NP
  247 #Squote_n                    Single_Quotes_on_N
  248 #Squote_pp                   Single_Quotes_on_PP
  249 #Squote_p                    Single_Quotes_on_P
  250 #Squote_s                    Single_Quotes_on_S
  251 #Squote_vp                   Single_Quotes_on_VP
  252 #Squote_v                    Single_Quotes_on_V
  253 #SBJNCT-IND_S_COMP           #SBJNCT-IND_S_COMP
  254 #SBJNCT-NIL_S_COMP           #SBJNCT-NIL_S_COMP
  255 #THAT_S_COMP                 noun_takes_indicative_sentential_complement_with_that_co
  256 #THAT_S_COMP2                adjective_takes_indicative_sentential_complement_with_th
  257 #THAT-NIL_S_COMP             noun_takes_indicative_complement-that/nil_complementizer
  258 XXX			   XXX
  259 #To_conj                     #To_conj
  260 #V_assign-comp_for           verb_takes_for_complementizer
  261 #V_assign-comp_nil_whether   verb_takes_whether_or_no_complementizer_if_inf
  262 #V_assign-comp_none          verb_takes_no_complementizer
  263 #V_base                      base_mode_verb
  264 #V_displ-set1+               #V_displ-set1+
  265 #V_displ-set1-               #V_displ-set1-
  266 #V_eps_extra                 #V_eps_extra
  267 #V_ind                       indicative_mode_verb
  268 #V_ind_ger                   indicative_or_gerund_mode_verb
  269 #V_inf                       infinitive_mode_verb
  270 #V_mainv+                    #V_mainv+
  271 #V_mainv-                    mainverb-_verb
  272 #V_nom                       verb_assigns_nom_case
  273 #V_none                      verb_assigns_no_case
  274 #V_obj_control               verb_exerts_object_control
  275 #V_sbj_control               verb_exerts_subject_control
  276 #V_passive-                  NOT_passive_verb
  277 #V_ppart                     past_participle_verb
  278 #V_pres                      present_tense_verb
  279 #VP_base                     auxiliary_verb_attaches_to_base_VP
  280 #VP_cond-                    auxiliary_verb_attaches_to_conditional-_VP
  281 #VP_ger                      auxiliary_verb_attaches_to_gerund_VP
  282 #VP_inf                      auxiliary_verb_attaches_to_infinitive_VP
  283 #VP_infnom                   auxiliary_verb_attaches_to_infinitive_or_noun_small_clau
  284 #VP_mainv+                   auxiliary_verb_attaches_to_mainverb+_VP
  285 #VP_nomprep                  auxiliary_verb_attaches_to_small_clause_VP
  286 #VP_pass+                    auxiliary_verb_attaches_to_passive+_VP
  287 #VP_pass-                    auxiliary_verb_attaches_to_passive-_VP
  288 #VP_perfect-                 auxiliary_verb_attaches_to_perfect-_VP
  289 #VP_ppart                    auxiliary_verb_attaches-to_past_participle_VP
  290 #VP_prog-                    auxiliary_verb_attaches_to_progressive-_VP
  291 #VPr_3rdsing+                noun_takes_subjunctive_sentential_complement
  292 #VPr_pers3                   3rdperson_auxiliary_verb
  293 #VPr_sing                    singular_auxiliary_verb
  294 #VPr_base                    NOT_3rdperson_singular_auxiliary_verb
  295 #VPr_ger                     base_mode_auxiliary_verb
  296 #VPr_ind                     gerund_mode_auxiliary_verb
  297 #VPr_mainv+                  mainverb+_auxiliary_verb
  298 #VPr_mainv-                  mainverb-_auxiliary_verb
  299 #VPr_past                    past_auxiliary_verb
  300 #VPr_present                 present_auxiliary_verb
  301 #VPr_perfect+                perfect+_auxiliary_verb
  302 #VPr_prog+                   progressive+_auxiliary_verb
  303 #VPt_neg+                    Neg+
  304 #S_ppart2			   substituted_S_is_ppart
  305 #S_pass2+			   substituted_S_is_passive+
  306 #VPr_ind_long		   gotta_whole_complex_verb_is_ind
  307 #VPr_pres_long		   gotta_whole_complex_verb_is_present
  308 #V_ger			   entry_is_only_for_gerunds_Used_with_GO_of_I_am_going_to_leave
  309 #VP_infnomprep               auxiliary_verb_attaches_to_inf_or_small_clause_VP
  310 #V_ind_base_ppart_sbjnct     progressive_be_mode_features
  311 #Vs1_control		   verb_exerts_subject_control
  312 #S_imp	                   auxiliary_do_attaches_to_imperative_S
  313 #S1_NOMPREPBASE              verb_takes_small_clause_or_base_sentential_complement
